system:index,CD_MUN,eventos_frio_2022,p10_temp,.geo
000000000000000001c1,3537107,5,15.8090686162313,"{""type"":""Point"",""coordinates"":[-46.88856711180679,-22.754738361739967]}"
00000000000000000204,3503802,5,16.934894392225505,"{""type"":""Point"",""coordinates"":[-47.13229493682983,-22.562084333644613]}"
00000000000000000245,3519055,5,16.94177483452694,"{""type"":""Point"",""coordinates"":[-47.064936551743365,-22.630303399179073]}"
00000000000000000050,3501608,5,16.45222434997561,"{""type"":""Point"",""coordinates"":[-47.289115769434,-22.723245563271213]}"
0000000000000000005a,3533403,5,16.45222434997561,"{""type"":""Point"",""coordinates"":[-47.28515050480639,-22.784112943034263]}"
000000000000000001a4,3545803,5,16.58219172159833,"{""type"":""Point"",""coordinates"":[-47.42807351747285,-22.80061800324848]}"
0000000000000000002b,3509502,5,15.8090686162313,"{""type"":""Point"",""coordinates"":[-47.04374758772654,-22.883740768355974]}"
000000000000000000f3,3556701,6,15.392443275451683,"{""type"":""Point"",""coordinates"":[-46.97905653318846,-23.046459759602026]}"
00000000000000000111,3531803,6,16.079816224839988,"{""type"":""Point"",""coordinates"":[-47.307336189696954,-22.95319331712298]}"
0000000000000000011f,3556206,6,15.392443275451683,"{""type"":""Point"",""coordinates"":[-46.98121203041184,-22.97511836040751]}"
000000000000000001db,3512803,5,16.934894392225505,"{""type"":""Point"",""coordinates"":[-47.187275523416325,-22.65240240983291]}"
000000000000000001f4,3536505,5,16.45222434997561,"{""type"":""Point"",""coordinates"":[-47.1450677032972,-22.748363159817156]}"
00000000000000000226,3552403,5,16.45222434997561,"{""type"":""Point"",""coordinates"":[-47.262992349767046,-22.841864575787238]}"
00000000000000000244,3519071,5,16.45222434997561,"{""type"":""Point"",""coordinates"":[-47.207721500084475,-22.878425946025708]}"
0000000000000000011b,3523404,5,14.885655339558923,"{""type"":""Point"",""coordinates"":[-46.8142956046541,-23.006702012862874]}"
000000000000000000ce,3532009,6,15.069702402750673,"{""type"":""Point"",""coordinates"":[-46.78254594049359,-22.89386430733306]}"
00000000000000000102,3515152,5,16.934894392225505,"{""type"":""Point"",""coordinates"":[-47.174942091818515,-22.48700124074123]}"
